tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,PaperlessBilling,PaymentMethod,SeniorCitizen,Partner,Dependents,Churn
18,412.02,7393.73,Month-to-month,DSL,No,No,Electronic check,1,Yes,No,1
21,513.07,10744.28,Two year,No,Yes,Yes,Electronic check,1,No,Yes,1
32,941.72,30211.54,One year,No,No,Yes,Mailed check,0,No,Yes,0
13,1245.23,16092.0,One year,DSL,Yes,No,Electronic check,0,No,No,0
3,906.68,2752.85,Month-to-month,No,Yes,Yes,Electronic check,0,Yes,Yes,1
8,706.08,5584.05,Month-to-month,Fiber optic,No,No,Electronic check,0,No,Yes,1
10,799.79,7949.81,One year,Fiber optic,No,Yes,Electronic check,0,No,Yes,1
24,424.88,10096.58,Month-to-month,DSL,No,No,Credit card,0,No,Yes,1
20,981.35,19599.64,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,Yes,1
10,1064.7,10722.54,One year,Fiber optic,No,Yes,Mailed check,0,No,No,0
72,664.37,47848.09,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,No,0
22,658.99,14437.8,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,0
6,879.76,5329.44,Month-to-month,Fiber optic,No,No,Electronic check,0,No,Yes,1
2,668.98,1399.53,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
3,780.16,2345.68,Two year,DSL,No,Yes,Electronic check,0,No,No,0
6,1429.92,8681.24,Month-to-month,No,No,Yes,Mailed check,0,No,Yes,0
4,725.89,2944.65,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,No,No,1
4,692.5,2804.12,Month-to-month,DSL,Yes,Yes,Bank transfer,0,No,Yes,0
8,605.74,4805.73,One year,DSL,Yes,Yes,Bank transfer,0,Yes,No,0
4,1023.26,4124.4,Month-to-month,Fiber optic,Yes,No,Mailed check,0,Yes,No,1
54,745.63,40275.01,One year,No,No,No,Mailed check,0,Yes,No,0
2,605.19,1236.37,Month-to-month,Fiber optic,Yes,No,Mailed check,0,Yes,Yes,1
17,1196.39,20304.42,Month-to-month,Fiber optic,Yes,No,Credit card,0,Yes,No,0
12,1225.88,14716.98,Month-to-month,DSL,Yes,No,Electronic check,1,Yes,Yes,1
72,619.87,44590.01,Two year,Fiber optic,Yes,Yes,Bank transfer,0,No,No,0
2,240.04,372.72,Two year,No,Yes,No,Bank transfer,0,Yes,No,0
12,1102.25,13276.96,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,Yes,1
72,594.61,42736.88,Month-to-month,DSL,No,No,Electronic check,0,No,No,0
48,1037.19,49790.37,Two year,Fiber optic,Yes,Yes,Mailed check,0,No,No,0
40,208.97,8375.4,Month-to-month,DSL,No,No,Electronic check,0,No,No,1
7,1067.78,7490.78,Two year,Fiber optic,No,No,Electronic check,0,No,Yes,0
4,436.65,1732.44,Month-to-month,Fiber optic,Yes,No,Electronic check,0,Yes,No,1
26,1019.23,26513.52,Two year,Fiber optic,No,Yes,Electronic check,0,Yes,No,0
63,804.28,50693.31,One year,DSL,No,No,Mailed check,0,Yes,No,0
19,513.82,9799.29,Two year,No,No,No,Credit card,0,Yes,No,1
20,677.89,13644.45,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,0
7,1005.9,7052.98,Month-to-month,Fiber optic,Yes,No,Credit card,0,No,No,1
35,831.77,29115.09,Two year,Fiber optic,No,Yes,Credit card,0,Yes,Yes,0
4,975.32,3855.96,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,1
9,1392.93,12558.19,Month-to-month,Fiber optic,No,No,Credit card,1,Yes,No,1
13,330.73,4332.83,One year,Fiber optic,Yes,Yes,Mailed check,0,No,No,1
17,1285.16,21838.17,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,0
6,831.31,5015.07,Two year,DSL,No,No,Bank transfer,0,Yes,Yes,0
2,530.36,1046.1,Month-to-month,No,No,Yes,Bank transfer,0,Yes,No,1
22,400.91,8853.48,One year,Fiber optic,Yes,Yes,Credit card,0,Yes,No,1
8,743.26,5991.74,One year,DSL,No,No,Credit card,0,Yes,Yes,0
20,1076.5,21574.83,Month-to-month,Fiber optic,No,Yes,Mailed check,1,No,No,1
4,761.74,3052.83,Month-to-month,No,No,Yes,Electronic check,0,Yes,No,1
15,1253.35,18748.2,Month-to-month,No,No,No,Electronic check,0,No,Yes,0
18,364.65,6533.06,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,Yes,1
1,796.37,826.13,Two year,DSL,No,Yes,Mailed check,0,No,No,0
9,424.28,3940.98,One year,Fiber optic,No,No,Bank transfer,0,Yes,No,1
3,909.09,2710.23,One year,DSL,No,No,Credit card,0,Yes,Yes,0
1,1066.07,1088.86,Two year,No,No,No,Mailed check,0,Yes,No,0
72,673.77,48483.74,Month-to-month,DSL,Yes,No,Credit card,0,No,No,0
9,200.0,1751.3,Two year,DSL,No,No,Bank transfer,0,No,No,0
39,859.68,33493.88,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,1
7,931.02,6413.03,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,0
27,921.29,24942.46,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,1
34,1170.73,39693.47,Two year,Fiber optic,No,Yes,Bank transfer,1,No,Yes,0
21,478.68,10039.17,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,1
15,1004.06,15002.07,Month-to-month,DSL,Yes,No,Electronic check,1,No,No,1
12,1157.75,13848.81,One year,Fiber optic,No,Yes,Credit card,0,Yes,Yes,1
10,266.42,2733.06,Month-to-month,DSL,Yes,No,Electronic check,0,No,No,1
63,895.9,56451.47,One year,Fiber optic,No,Yes,Mailed check,0,Yes,Yes,1
42,648.75,27199.06,Month-to-month,Fiber optic,No,Yes,Electronic check,1,Yes,No,1
72,775.54,55809.63,One year,Fiber optic,No,No,Bank transfer,0,No,No,0
3,904.3,2674.63,Month-to-month,No,No,Yes,Credit card,0,No,No,1
31,653.83,20266.6,Month-to-month,No,Yes,Yes,Mailed check,0,Yes,Yes,1
66,597.29,39429.62,Month-to-month,No,Yes,Yes,Mailed check,1,Yes,Yes,0
4,810.25,3335.76,Month-to-month,DSL,No,Yes,Credit card,1,No,No,1
1,473.83,378.01,Month-to-month,DSL,No,No,Credit card,1,No,No,1
32,474.25,15174.34,Month-to-month,DSL,Yes,No,Credit card,1,No,No,1
20,1003.81,20060.46,Month-to-month,No,No,Yes,Mailed check,0,No,Yes,1
44,455.36,20083.25,Month-to-month,No,No,Yes,Electronic check,0,Yes,Yes,0
3,999.89,3017.42,One year,No,No,No,Mailed check,0,No,No,1
38,938.78,35703.06,Two year,DSL,No,No,Bank transfer,0,No,No,0
5,282.26,1428.54,Month-to-month,No,No,Yes,Electronic check,0,No,Yes,1
4,596.73,2340.32,One year,Fiber optic,No,Yes,Electronic check,1,Yes,No,0
4,1158.23,4693.49,One year,DSL,No,No,Electronic check,0,No,No,0
40,505.65,20265.94,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,Yes,1
26,660.68,17223.42,One year,DSL,No,Yes,Credit card,1,No,No,0
17,938.62,16019.71,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
10,1035.02,10371.06,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,1
50,724.54,36300.97,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,0
11,620.75,6847.1,One year,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,1
40,1226.71,49057.49,One year,No,Yes,No,Bank transfer,0,Yes,Yes,0
13,1321.67,17181.38,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,0
11,1093.66,12029.04,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,1
14,825.6,11532.37,Two year,No,No,Yes,Electronic check,1,Yes,No,1
8,557.52,4541.76,Month-to-month,No,No,No,Electronic check,0,No,Yes,1
33,550.87,18193.42,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,No,0
16,956.75,15312.8,Two year,Fiber optic,No,Yes,Bank transfer,1,Yes,No,0
6,925.52,5572.53,One year,DSL,No,Yes,Bank transfer,0,No,No,0
55,1220.48,67275.37,One year,DSL,No,No,Bank transfer,0,No,No,0
11,995.14,10889.9,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
18,349.08,6241.11,Two year,No,No,Yes,Electronic check,0,No,Yes,1
56,1115.58,62403.69,Month-to-month,DSL,Yes,Yes,Bank transfer,0,No,No,0
23,500.58,11501.75,Month-to-month,No,No,No,Mailed check,0,No,No,1
2,684.81,1381.89,Month-to-month,No,Yes,Yes,Bank transfer,0,Yes,No,1
67,875.06,58605.76,Two year,No,No,No,Mailed check,0,No,No,0
23,1398.7,32143.12,One year,DSL,Yes,No,Electronic check,0,Yes,No,0
9,1732.98,15603.9,Month-to-month,No,No,No,Electronic check,0,Yes,No,1
3,982.02,2920.95,Two year,DSL,No,Yes,Electronic check,0,No,Yes,0
37,745.04,27582.03,Month-to-month,Fiber optic,No,No,Electronic check,1,No,No,0
23,960.35,22143.8,Month-to-month,DSL,Yes,Yes,Electronic check,0,Yes,No,1
18,1066.3,19227.19,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,Yes,0
53,703.8,37345.44,Month-to-month,Fiber optic,No,No,Electronic check,0,No,Yes,1
37,1338.56,49581.14,Two year,Fiber optic,Yes,Yes,Electronic check,0,No,Yes,0
3,869.02,2621.21,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,1
8,949.32,7586.65,Two year,DSL,No,Yes,Electronic check,0,Yes,No,0
6,999.78,5960.05,One year,Fiber optic,No,No,Bank transfer,0,No,Yes,1
32,926.48,29627.67,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,Yes,0
0,1051.68,0.0,Two year,No,No,No,Bank transfer,0,No,No,0
20,614.82,12333.06,Month-to-month,DSL,Yes,No,Credit card,0,Yes,No,0
34,632.51,21522.66,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,Yes,0
50,469.95,23532.52,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,No,No,1
10,931.85,9260.49,Two year,Fiber optic,Yes,No,Credit card,0,Yes,No,0
41,1033.68,42452.51,Month-to-month,Fiber optic,Yes,Yes,Credit card,0,Yes,No,0
2,937.33,1853.31,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,1
44,1302.35,57248.3,Month-to-month,No,No,Yes,Electronic check,0,No,No,1
3,798.32,2373.0,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,Yes,1
12,1000.62,12131.66,One year,DSL,No,Yes,Bank transfer,0,Yes,Yes,0
38,472.49,17935.22,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,No,1
3,683.87,2035.36,Month-to-month,No,No,Yes,Electronic check,0,Yes,No,1
6,1008.66,6042.36,Month-to-month,DSL,Yes,Yes,Mailed check,0,No,No,1
30,1054.73,31634.49,Month-to-month,DSL,No,No,Bank transfer,0,No,No,1
30,711.81,21315.22,Two year,Fiber optic,Yes,No,Mailed check,0,Yes,Yes,0
24,778.52,18691.65,Month-to-month,Fiber optic,Yes,No,Credit card,1,Yes,No,0
28,344.64,9703.64,Two year,Fiber optic,No,Yes,Bank transfer,1,Yes,No,0
18,692.89,12487.76,Month-to-month,DSL,No,Yes,Electronic check,1,Yes,No,1
6,1067.11,6347.13,Month-to-month,DSL,No,No,Bank transfer,1,Yes,No,1
10,972.56,9708.4,Two year,Fiber optic,Yes,Yes,Electronic check,0,No,No,1
4,950.2,3773.22,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,1
57,814.93,46453.78,One year,Fiber optic,No,Yes,Credit card,0,No,No,0
21,802.12,16911.02,Two year,Fiber optic,No,No,Credit card,0,No,No,0
12,601.9,7215.4,Month-to-month,DSL,No,Yes,Mailed check,1,Yes,Yes,1
14,1009.65,14130.67,Month-to-month,No,No,Yes,Electronic check,0,No,No,1
70,926.29,64929.31,One year,No,Yes,No,Electronic check,1,No,No,0
3,947.61,2886.63,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,1
21,642.19,13514.68,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,1
16,200.0,3297.91,Month-to-month,DSL,No,Yes,Mailed check,0,Yes,No,1
22,1129.15,24865.7,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
0,656.35,0.0,One year,DSL,No,Yes,Electronic check,0,No,No,1
49,541.17,26558.83,Month-to-month,No,No,Yes,Electronic check,0,No,Yes,1
64,1008.04,64435.19,Month-to-month,DSL,No,Yes,Credit card,1,No,No,0
19,682.4,12988.13,One year,Fiber optic,No,Yes,Bank transfer,0,No,No,0
28,1117.98,31217.78,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
61,985.1,60067.87,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,No,No,1
29,1005.07,29128.86,One year,DSL,Yes,Yes,Mailed check,1,Yes,No,0
3,390.21,1132.13,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
20,1163.58,23254.22,One year,DSL,No,Yes,Mailed check,0,Yes,No,0
22,878.38,19375.88,Two year,No,No,Yes,Credit card,0,Yes,Yes,0
13,689.22,8924.12,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,1
32,843.02,27003.79,Month-to-month,No,Yes,Yes,Bank transfer,0,Yes,No,0
65,267.13,17315.13,Month-to-month,No,Yes,No,Mailed check,0,Yes,No,0
62,922.6,57191.47,Month-to-month,DSL,No,Yes,Credit card,1,No,Yes,0
14,491.19,6892.83,Two year,Fiber optic,Yes,No,Credit card,1,Yes,No,0
2,394.2,738.57,Two year,DSL,No,Yes,Mailed check,0,Yes,No,1
72,343.29,24651.46,Month-to-month,No,Yes,Yes,Electronic check,1,No,No,1
43,1133.81,48778.27,One year,Fiber optic,No,Yes,Mailed check,0,No,No,0
3,611.22,1889.82,Two year,DSL,No,Yes,Electronic check,0,No,Yes,0
60,1260.12,75603.15,Two year,Fiber optic,No,No,Bank transfer,0,No,No,0
48,639.26,30661.59,Month-to-month,DSL,No,No,Mailed check,0,No,No,0
17,287.79,4900.26,Month-to-month,No,Yes,No,Electronic check,0,No,No,1
21,465.04,9768.67,Month-to-month,DSL,No,No,Electronic check,0,No,Yes,1
12,1170.74,14061.07,Two year,Fiber optic,No,Yes,Mailed check,0,No,No,0
1,753.23,626.82,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,1
9,635.51,5666.17,One year,No,No,No,Bank transfer,0,Yes,No,1
38,848.01,32181.95,Month-to-month,DSL,Yes,No,Bank transfer,0,Yes,No,0
0,950.53,7.54,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
9,1135.22,10226.27,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,No,1
12,1234.55,14846.41,Two year,Fiber optic,No,Yes,Mailed check,1,Yes,Yes,0
18,692.07,12470.13,Month-to-month,DSL,Yes,No,Bank transfer,0,No,Yes,1
60,402.19,24066.1,One year,DSL,No,Yes,Electronic check,0,No,No,0
10,675.96,6831.95,Month-to-month,DSL,No,Yes,Mailed check,0,No,Yes,1
10,878.08,8844.44,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,1
32,510.87,16285.0,Month-to-month,DSL,No,No,Electronic check,1,No,Yes,1
14,512.85,7196.6,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,Yes,1
6,903.14,5389.05,Month-to-month,DSL,No,No,Electronic check,0,No,Yes,1
14,785.4,11002.6,Month-to-month,No,No,Yes,Electronic check,1,No,No,1
3,809.84,2482.18,Month-to-month,No,No,No,Mailed check,0,Yes,No,1
4,572.45,2396.31,Month-to-month,Fiber optic,No,No,Credit card,0,No,No,1
16,730.88,11731.64,Two year,Fiber optic,No,Yes,Mailed check,0,Yes,No,0
13,522.73,6810.24,Two year,DSL,Yes,Yes,Bank transfer,0,No,No,0
59,1067.06,62939.52,Month-to-month,DSL,No,Yes,Credit card,0,Yes,No,0
10,1110.57,11114.85,One year,DSL,No,Yes,Electronic check,0,Yes,No,0
20,246.14,4990.86,Two year,Fiber optic,No,No,Mailed check,0,Yes,No,0
24,521.15,12505.29,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,1
0,351.04,0.0,Two year,No,No,Yes,Credit card,0,No,No,1
26,604.99,15648.83,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,1
4,774.97,3125.53,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
72,365.11,26300.03,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,No,0
3,523.44,1538.03,Two year,Fiber optic,Yes,Yes,Bank transfer,0,Yes,Yes,0
12,498.81,6037.05,Month-to-month,DSL,No,No,Mailed check,0,No,No,1
2,862.18,1703.27,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,Yes,1
72,820.8,59091.11,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
16,583.48,9334.83,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,1
21,853.05,17896.42,One year,No,No,No,Mailed check,0,Yes,No,1
1,636.0,647.79,One year,DSL,Yes,Yes,Credit card,0,No,Yes,1
33,718.5,23768.19,Two year,DSL,No,Yes,Electronic check,0,No,Yes,0
5,1302.04,6453.05,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,Yes,1
54,1202.14,64939.9,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,1,Yes,No,0
5,410.13,2059.24,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,No,1
5,1048.92,5252.29,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,No,1
0,1043.42,43.59,Month-to-month,No,No,Yes,Electronic check,0,Yes,No,1
15,455.52,6835.28,Two year,No,Yes,No,Credit card,1,Yes,No,0
19,1045.63,19891.04,Two year,DSL,No,No,Credit card,0,No,No,0
1,1261.38,1297.17,Month-to-month,No,No,Yes,Electronic check,0,No,Yes,1
35,463.24,16188.06,One year,Fiber optic,No,No,Electronic check,1,No,Yes,1
14,524.75,7361.45,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,1
17,1105.3,18777.53,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,1
13,881.45,11452.2,One year,No,Yes,Yes,Mailed check,0,Yes,No,0
12,965.44,11569.21,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,No,No,0
19,902.18,17164.91,Two year,Fiber optic,No,No,Bank transfer,0,No,No,0
4,917.21,3672.92,One year,Fiber optic,No,Yes,Electronic check,1,No,No,1
4,402.06,1627.96,Month-to-month,Fiber optic,No,No,Credit card,0,No,Yes,1
47,1114.2,52366.3,One year,DSL,No,Yes,Credit card,0,No,No,0
70,1150.88,80481.18,Month-to-month,No,No,No,Mailed check,0,Yes,No,0
11,731.18,8044.58,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,Yes,0
7,786.96,5511.88,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,1
24,340.67,8188.16,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,No,1
12,954.28,11421.63,One year,Fiber optic,No,Yes,Bank transfer,0,No,No,1
0,971.62,0.0,Month-to-month,DSL,Yes,No,Mailed check,0,Yes,No,1
4,781.34,3156.6,One year,DSL,Yes,Yes,Bank transfer,0,No,No,1
30,1137.31,34105.5,One year,Fiber optic,No,No,Credit card,1,Yes,No,0
25,699.78,17502.98,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,0
0,969.38,0.0,Two year,Fiber optic,No,Yes,Bank transfer,0,No,Yes,0
6,494.1,2964.3,Month-to-month,DSL,Yes,Yes,Bank transfer,0,Yes,No,0
6,792.93,4735.14,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,No,No,1
26,747.69,19391.63,Month-to-month,DSL,No,No,Electronic check,0,No,Yes,1
0,867.59,23.69,Month-to-month,No,No,No,Bank transfer,0,Yes,No,1
2,689.14,1348.13,Month-to-month,Fiber optic,No,No,Mailed check,1,No,No,1
38,760.56,28909.41,One year,Fiber optic,No,Yes,Mailed check,1,Yes,No,0
4,1047.81,4211.78,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,1
25,668.97,16694.93,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,1
6,318.03,1847.97,Two year,No,Yes,No,Electronic check,0,Yes,No,0
2,1324.88,2771.05,One year,DSL,No,No,Bank transfer,0,No,No,0
6,1214.44,7260.23,Two year,Fiber optic,No,Yes,Electronic check,1,Yes,No,0
30,412.32,12400.81,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
46,1006.91,46414.94,One year,DSL,No,Yes,Electronic check,0,No,No,0
42,649.11,27302.01,Two year,No,Yes,No,Electronic check,0,No,Yes,0
12,879.05,10533.53,One year,Fiber optic,No,No,Credit card,0,No,No,1
26,888.27,23091.59,One year,DSL,No,No,Electronic check,1,Yes,No,0
5,729.68,3606.76,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,No,0
8,564.87,4563.05,Month-to-month,DSL,Yes,No,Mailed check,0,Yes,No,1
54,592.84,32041.55,Month-to-month,No,No,No,Mailed check,0,No,No,0
0,525.14,0.0,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
2,550.45,1048.8,Two year,DSL,Yes,Yes,Electronic check,0,No,No,0
5,779.85,3833.17,Month-to-month,DSL,No,Yes,Credit card,0,No,No,1
0,585.27,49.33,Two year,Fiber optic,Yes,Yes,Bank transfer,0,No,No,0
4,1004.62,4024.48,Two year,Fiber optic,No,No,Mailed check,1,Yes,No,0
20,1246.17,24934.23,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,0
13,625.98,8096.64,Month-to-month,Fiber optic,Yes,No,Electronic check,1,No,No,0
53,871.82,46133.36,Two year,DSL,No,Yes,Electronic check,0,No,Yes,0
40,949.91,38044.35,Two year,Fiber optic,Yes,Yes,Bank transfer,0,Yes,Yes,0
10,941.6,9418.11,Month-to-month,No,No,Yes,Credit card,0,No,Yes,1
7,822.79,5804.87,Month-to-month,DSL,Yes,Yes,Electronic check,0,Yes,No,1
11,1022.8,11231.56,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,1
21,944.67,19826.33,One year,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,0
7,428.7,3036.57,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,Yes,1
23,1060.75,24433.79,One year,DSL,No,Yes,Electronic check,1,Yes,No,0
12,1066.19,12834.13,Month-to-month,No,Yes,Yes,Electronic check,0,Yes,No,0
19,571.01,10834.51,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,0
13,811.38,10578.68,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,No,No,1
8,1005.0,8095.44,Month-to-month,DSL,No,No,Electronic check,0,No,Yes,1
71,737.21,52336.38,Month-to-month,DSL,Yes,Yes,Credit card,0,Yes,No,0
34,1121.89,38118.7,Month-to-month,DSL,No,No,Credit card,0,No,Yes,0
3,1509.16,4594.62,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,No,1
48,564.2,27049.08,Month-to-month,DSL,No,No,Credit card,0,No,No,0
16,385.69,6202.46,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
53,891.15,47227.79,Two year,Fiber optic,No,No,Credit card,0,Yes,No,0
38,1016.47,38533.73,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,Yes,0
13,730.74,9556.05,Month-to-month,Fiber optic,No,No,Credit card,1,Yes,No,1
0,1235.98,0.0,One year,Fiber optic,No,Yes,Credit card,0,Yes,No,0
7,398.42,2689.72,Two year,DSL,Yes,Yes,Electronic check,0,Yes,Yes,1
18,1007.88,18168.13,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,0
24,618.24,14864.16,One year,Fiber optic,No,Yes,Electronic check,1,No,No,1
7,1315.81,9178.81,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
3,1397.75,4200.65,One year,DSL,No,Yes,Electronic check,0,No,No,1
43,570.0,24383.56,Month-to-month,Fiber optic,Yes,No,Credit card,1,No,Yes,1
72,635.13,45764.91,One year,DSL,No,No,Electronic check,0,No,No,0
17,1057.88,17996.38,Month-to-month,DSL,Yes,Yes,Mailed check,0,Yes,No,0
4,683.86,2733.16,One year,DSL,Yes,No,Mailed check,0,Yes,No,0
7,786.38,5505.68,One year,No,Yes,Yes,Credit card,0,No,No,0
0,807.62,24.66,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,No,1
58,224.1,12996.24,Two year,DSL,Yes,No,Credit card,0,No,Yes,0
3,795.85,2293.84,Month-to-month,DSL,Yes,No,Credit card,0,Yes,No,1
20,593.08,11971.45,Two year,DSL,No,No,Mailed check,0,No,No,1
7,652.06,4624.48,Month-to-month,Fiber optic,Yes,Yes,Mailed check,1,No,No,1
19,1233.09,23364.46,Month-to-month,DSL,Yes,Yes,Bank transfer,0,No,No,0
25,423.05,10558.94,Month-to-month,DSL,Yes,Yes,Credit card,0,No,Yes,0
42,1043.96,43834.58,Two year,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,0
5,716.31,3635.5,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,Yes,1
0,716.07,0.0,Month-to-month,Fiber optic,Yes,No,Credit card,0,Yes,No,1
3,1037.11,3086.38,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,1
55,902.02,49522.81,One year,DSL,No,Yes,Bank transfer,0,No,No,0
49,971.18,47573.76,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,Yes,0
21,1090.46,22875.94,Month-to-month,DSL,No,No,Electronic check,0,Yes,Yes,1
22,700.61,15417.35,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,1
26,616.33,15994.31,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,No,1
4,474.45,1860.27,Month-to-month,DSL,Yes,Yes,Credit card,1,No,No,1
58,552.38,32068.84,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,0
13,1684.73,21924.2,One year,No,No,No,Mailed check,0,Yes,No,0
11,1173.4,12935.01,Month-to-month,No,Yes,Yes,Credit card,0,No,Yes,1
17,394.68,6700.68,Month-to-month,Fiber optic,No,Yes,Electronic check,1,No,Yes,1
1,403.26,374.68,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,Yes,1
4,944.56,3772.3,Two year,DSL,No,No,Credit card,0,Yes,Yes,0
32,964.18,30878.8,Two year,DSL,No,No,Electronic check,0,Yes,Yes,0
2,964.67,1820.49,Two year,Fiber optic,No,Yes,Credit card,0,Yes,No,0
22,723.51,15937.0,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,1
6,762.36,4589.64,Month-to-month,No,No,No,Mailed check,0,No,No,1
11,898.36,9885.11,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,No,1
8,825.77,6598.68,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,No,1
10,200.0,1871.69,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,Yes,1
30,731.06,21909.81,One year,No,No,Yes,Mailed check,1,Yes,No,0
8,544.58,4446.1,Two year,Fiber optic,No,No,Credit card,0,Yes,No,0
20,852.56,17051.91,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,1
15,1695.58,25418.3,Month-to-month,DSL,No,No,Mailed check,0,Yes,No,0
26,910.24,23667.2,One year,No,No,Yes,Electronic check,0,No,Yes,1
66,705.94,46609.85,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,0
31,1076.54,33405.69,Month-to-month,No,No,No,Electronic check,0,Yes,Yes,0
5,944.81,4712.59,One year,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,0
